Quarter,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5
2023Q1,0.40118180873974635,0.11045729440493225,0.19087494514370004,0.055058850541388135,0.15160962988950832,0.09081747128072495
2023Q2,0.32026427699924953,0.14652742921256348,0.2115253978254229,0.08274347157163112,0.12155344858086013,0.11738597581027288
2023Q3,0.2859850124667383,0.20793567268585486,0.20005166889733675,0.07777849436264661,0.09385503641858767,0.1343941151688358
2023Q4,0.32570918808141,0.14304226509178294,0.2139133396630982,0.08374556290638852,0.09832368693719006,0.13526595732013028
2024Q1,0.31412723601447406,0.13045011175695526,0.20332739104276318,0.08622959487717374,0.11981818092901995,0.14604748537961376
2024Q2,0.34302533110448324,0.17381732959752827,0.19767497535606432,0.07063635739721844,0.08249809549708798,0.13234791104761778
2024Q3,0.4014154329380944,0.20137010425990193,0.1947640310231085,0.06648954112479848,0.040514041344211486,0.09544684930988512
2024Q4,0.3100031517909094,0.1921843505858797,0.16053580924734226,0.08344895231501749,0.10749295702800687,0.14633477903284417
2025Q1,0.26656250474312304,0.1808370830718922,0.16862435242168794,0.10541189531980615,0.10611634614343858,0.17244781830005207
2025Q2,0.26232079034582656,0.23893461024064147,0.2040954711483019,0.0991573262003205,0.06462344966006235,0.13086835240484737
2025Q3,0.2098968125634772,0.300235787707917,0.11445881739407124,0.09816034574346004,0.13520449139653956,0.14204374519453505
