topic,rank,word,weight
0,1,人类,0.01179923006848651
0,2,人工智能,0.009877038508616258
0,3,自己,0.006723086409107526
0,4,真的,0.006160434815563519
0,5,工作,0.005719314697168102
0,6,可能,0.005363765546299563
0,7,取代,0.005088943865469495
0,8,时代,0.004920094164994117
0,9,问题,0.004864176731327773
0,10,未来,0.0048539661816239974
1,1,科技,0.0038881830020019406
1,2,中国,0.003647918024430345
1,3,合作,0.003531994126507673
1,4,发展,0.0034834994862111097
1,5,创新,0.0034697023197032845
1,6,ai,0.003302242717984441
1,7,公司,0.003298571161631592
1,8,企业,0.0032149285764023223
1,9,数字,0.0031369648587893993
1,10,领域,0.003101384355874005
2,1,创新,0.004749014703546532
2,2,科技,0.004496737084276382
2,3,建设,0.004361139925018591
2,4,概念,0.004067318073618334
2,5,发展,0.004028210686708779
2,6,数字,0.003988693374923725
2,7,项目,0.003914982571237961
2,8,经济,0.003827020504201375
2,9,股份,0.0036971952091000284
2,10,中心,0.003117399961742973
3,1,亿美元,0.014535544601219225
3,2,股价,0.009960511369032116
3,3,a股,0.009371824514116096
3,4,亿元,0.009166507305608423
3,5,增长,0.009050928876528547
3,6,股票,0.00869829908895825
3,7,伟达,0.00867468802108086
3,8,市值,0.008113639909121475
3,9,投资,0.007838494598841816
3,10,同比,0.007499602301502549
4,1,ai,0.05043557746794239
4,2,啊啊啊,0.04632338744845917
4,3,这么,0.026938588687808872
4,4,真的,0.024986323064548226
4,5,不能,0.023723746971011407
4,6,喜欢,0.019198138613796073
4,7,干嘛,0.016146911728921253
4,8,代替,0.01373946138402784
4,9,亲嘴,0.013326049228586354
4,10,不了,0.012007513230816991
5,1,教育,0.02330685813348005
5,2,专业,0.019890442726442407
5,3,学生,0.015629007341555097
5,4,课程,0.01389558946028443
5,5,教师,0.013438668564250793
5,6,学院,0.012016324354091418
5,7,教学,0.011793526001196718
5,8,学校,0.011159249894141104
5,9,大学,0.009644306810146691
5,10,学习,0.00857229694625795
